标的代码,期权名称,交易市场名称,交易市场
510050,上证50ETF期权,sse,上交所
510300,沪深300ETF期权,sse,上交所
510500,中证500ETF期权,sse,上交所
159919,沪深300ETF期权,szse,深交所
159922,中证500ETF期权,szse,深交所
159915,创业板ETF期权,szse,深交所
000300,沪深300股指期权,cffex,中金所
000852,中证1000股指期权,cffex,中金所
000016,上证50股指期权,cffex,中金所
cu,铜期权,shfe,上期所
al,铝期权,shfe,上期所
zn,锌期权,shfe,上期所
rb,螺纹钢期权,shfe,上期所
au,黄金期权,shfe,上期所
ag,白银期权,shfe,上期所
ru,天胶期权,shfe,上期所
m,豆粕期权,dce,大商所
c,玉米期权,dce,大商所
i,铁矿石期权,dce,大商所
pg,液化石油天然气期权,dce,大商所
l,聚乙烯期权,dce,大商所
v,聚氯乙烯期权,dce,大商所
pp,聚丙烯期权,dce,大商所
p,棕榈油期权,dce,大商所
a,黄大豆1号期权,dce,大商所
b,黄大豆2号期权,dce,大商所
y,豆油期权,dce,大商所
SR,白糖期权,czce,郑商所
CF,棉花期权,czce,郑商所
TA,PTA期权,czce,郑商所
MA,甲醇期权,czce,郑商所
RM,菜籽粕期权,czce,郑商所
OI,菜籽油期权,czce,郑商所
PK,花生期权,czce,郑商所
sc,原油期权,ine,上期能源